job_id,job_role,industry,country,year,automation_risk_percent,ai_replacement_score,skill_gap_index,salary_before_usd,salary_after_usd,salary_change_percent,skill_demand_growth_percent,remote_feasibility_score,ai_adoption_level,education_requirement_level,automation_risk_category,skill_transition_pressure,wage_volatility_index,reskilling_urgency_score,ai_disruption_intensity
0,Data Analyst,Technology,Canada,2021,26.22,30.94,73.2,101839.02,99454.42,-2.34,2.66,15.23,86.62,2,Low,49.71,2.34,33.15,22.711764
1,Accountant,Finance,Brazil,2020,52.08,56.41,2.06,146389.18,139516.59,-4.69,10.43,26.36,18.34,5,Medium,27.07,4.69,22.857,9.551472
2,Teacher,Technology,USA,2020,31.3,31.61,43.19,64947.5,58369.41,-10.13,8.14,36.29,36.64,2,Medium,37.245,10.13,28.516000000000002,11.46832
3,Customer Support Rep,Technology,Brazil,2021,56.92,63.42,19.97,91708.13,86715.7,-5.44,6.11,64.68,17.05,5,Medium,38.445,5.44,30.391000000000002,9.704860000000002
4,Teacher,Manufacturing,Japan,2024,14.55,17.17,96.56,127007.68,119379.11,-6.01,2.08,71.58,44.02,3,Low,55.555,6.01,36.590999999999994,6.404910000000001
5,Software Engineer,Healthcare,Singapore,2022,8.54,8.53,3.44,139118.45,150561.57,8.23,-7.21,38.05,52.01,3,Low,5.989999999999999,8.23,6.917,4.441653999999999
6,Accountant,Manufacturing,Australia,2020,48.27,42.18,96.96,123015.94,132100.25,7.38,6.71,17.96,19.6,1,Medium,72.615,7.38,50.61,9.460920000000002
7,Teacher,Finance,Australia,2026,13.17,12.25,38.87,62561.88,59680.04,-4.61,15.57,35.28,54.27,3,Low,26.02,4.61,18.312,7.147359
8,Marketing Specialist,Retail,USA,2025,19.86,22.27,7.46,148426.43,138379.12,-6.77,11.12,10.5,81.55,4,Low,13.66,6.77,12.213000000000001,16.195829999999997
9,Financial Analyst,Finance,Singapore,2020,59.48,64.93,77.13,38885.36,35622.03,-8.39,1.91,87.68,62.33,5,Medium,68.30499999999999,8.39,49.448,37.073884
10,HR Manager,Education,Germany,2025,33.16,27.37,31.1,69022.0,74630.21,8.13,18.56,89.85,47.22,1,Medium,32.129999999999995,8.13,25.033,15.658151999999998
11,Software Engineer,Manufacturing,Canada,2020,8.37,9.09,76.08,97353.26,97004.49,-0.36,20.65,57.05,42.75,2,Low,42.225,0.36,26.279999999999998,3.5781749999999994
12,Data Analyst,Transportation,Canada,2023,5.0,4.22,3.14,106369.25,107345.3,0.92,-14.88,91.68,24.93,3,Low,4.07,0.92,3.218,1.2465000000000002
13,Accountant,Education,Australia,2021,38.73,42.69,22.88,39237.59,36065.26,-8.08,-0.02,93.67,80.81,3,Medium,30.805,8.08,24.779999999999998,31.297712999999998
14,Data Analyst,Healthcare,Brazil,2025,44.34,50.93,80.37,52388.41,52896.98,0.97,14.69,82.67,89.61,2,Medium,62.355000000000004,0.97,42.138,39.733074
15,Accountant,Energy,Singapore,2022,32.26,27.23,22.79,81252.93,83659.0,2.96,7.61,10.63,51.07,5,Medium,27.525,2.96,20.629,16.475182
16,Customer Support Rep,Education,USA,2021,54.22,48.19,11.99,70513.82,69376.53,-1.61,9.04,56.69,70.3,1,Medium,33.105,1.61,25.768000000000004,38.116659999999996
17,Mechanical Engineer,Transportation,Canada,2020,35.45,42.14,96.24,60213.88,48660.21,-19.19,4.73,35.64,3.69,2,Medium,65.845,19.19,48.809,1.3081050000000003
18,Marketing Specialist,Education,Germany,2025,52.67,52.73,5.15,63437.58,62217.28,-1.92,8.02,23.04,48.95,4,Medium,28.91,1.92,23.189000000000004,25.781965
